trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00751078	0.00559
0.0027	0.0437	0.0048	-2.4434609527920616e-05	-0.00023212879051524583	0.00011170107212763708	0.99732327	40.81454849	0.97962494	0.06961322360854018	0.0066933	0.00239
-0.0026	-0.0329	0.0043	0.00017104226669544429	-0.00027925268031909274	-3.665191429188092e-05	0.99995309	40.92217255	0.9962874	0.10194768762233648	0.00779915	0.00255
-0.0031	0.0217	0.0086	-5.93411945678072e-05	-0.0003769911184307752	-2.6179938779914945e-05	1.00194931	41.00386429	0.97634579	0.07632969374434499	0.00653428	0.00127
-0.0018	0.0109	0.0057	5.235987755982989e-05	-0.0003822271061867582	-2.094395102393195e-05	0.97139114	39.75329971	0.95654883	0.021108652381980154	0.00686389	0.00155
-0.0026	0.0064	0.016	0.00012740903539558605	-0.00048345620280242926	-7.330382858376184e-05	1.02269995	41.85306549	0.97235046	0.02703190660056285	0.00693417	0.00137
-0.0013	0.048	0.0148	-0.00011693705988362007	-0.00046425758103049166	6.806784082777885e-05	1.06034267	43.3935585	0.98781395	0.06434581932313423	0.00641191	0.0012
-0.0052	-0.0194	0.0064	0.00041189770347066176	-0.0006667157742618339	-0.0001361356816555577	1.06667376	43.65265274	1.00270757	0.12647482395344803	0.00754654	0.00183
-0.0054	0.0577	-0.0035	4.537856055185256e-05	-0.0006824237375297829	-0.00011519173063162575	1.09716666	44.90055084	1.01952482	0.10735855286053451	0.00662404	0.00142
-0.0058	-0.0083	-0.0069	0.0003211405823669566	-0.0006928957130417488	-0.00013962634015954637	1.03992367	42.55792999	0.99289171	0.08533343034274954	0.00731725	0.00149
-0.0025	0.0324	0.0092	8.726646259971648e-06	-0.0007941248096574199	-5.061454830783555e-05	1.06084025	43.41392517	0.9848478	0.08523274122871835	0.00619465	0.00091
-0.0042	-0.0133	0.0053	0.000296705972839036	-0.0007958701389094143	-0.00010471975511965978	1.05597699	43.21490097	0.98315495	0.06849149313214416	0.00702465	0.00114
-0.0036	0.0325	0.0042	0.00010821041362364843	-0.0007976154681614085	-7.853981633974481e-05	1.07194245	43.86827087	0.99102458	0.05832104136236484	0.00632602	0.00085
-0.0054	-0.0065	-0.0004	0.0003473205211468716	-0.0007871434926494425	-0.00011344640137963142	1.03520429	42.36479568	0.97368288	0.05962443340375379	0.00703812	0.00117
-0.0077	0.0357	0.0015	0.00012217304763960306	-0.0009250245035569946	-0.00013788101090755203	1.08604634	44.44545746	0.98686119	0.06577315469713706	0.00637519	0.00097
-0.0061	0.0065	0.0049	0.00018675022996339323	-0.0008883725892651138	-0.00010995574287564276	1.04804075	42.89011383	0.97738348	0.04065771823237901	0.00658351	0.00088
-0.0044	0.0185	0.0111	0.00027576202181510406	-0.0009354964790689606	-0.00014137166941154068	1.04032815	42.57448196	0.97178873	0.02827758040957277	0.00627893	0.00088
-0.005	0.0372	0.0053	7.853981633974481e-05	-0.000905825881785057	-0.00013439035240356338	1.02531576	41.96011353	0.96589736	0.036793705988362	0.00607711	0.00076
-0.0069	0.0074	0.0075	0.00027925268031909274	-0.0010384709049366262	-0.00018500490071139895	1.0813849	44.25469589	0.98451991	0.05309862177193763	0.00640577	0.00087
-0.0057	0.0429	0.0066	9.42477796076938e-05	-0.0010349802464326373	-0.00017104226669544429	1.08445919	44.38050461	0.98473061	0.04772290966156712	0.00591242	0.00076
-0.0068	-0.0072	0.02	0.00026878070480712676	-0.001075122819228507	-0.00020769418098732522	1.08752668	44.50604248	0.99412339	0.07716637061435917	0.00614744	0.00064
0.006	0.0428	0.031	-0.00019024088846738194	-0.0009389871375729493	9.075712110370512e-05	1.15601265	47.30876541	1.04235893	0.11848042885105484	0.00582707	0.00161
