trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0053708	0.01584
-0.0008	0.0362	0.0142	-0.00039269908169872416	-1.3962634015954635e-05	5.759586531581287e-05	1.10053468	41.62120438	1.04704003	0.07441287905152459	0.00531054	0.007
-0.0013	-0.0357	0.009	-9.773843811168246e-05	-1.9198621771937625e-05	5.4105206811824215e-05	1.12048113	42.37556076	1.05776478	0.09278436449235065	0.00560409	0.00606
-0.0025	-0.0061	0.0006	-0.000153588974175501	-6.806784082777885e-05	-1.7453292519943294e-06	1.05640221	39.95215607	1.00323941	0.04722851455917392	0.00472879	0.00303
-0.0005	0.0077	0.0034	-0.0002513274122871834	-4.71238898038469e-05	0.00010297442586766544	1.06130815	40.13769531	1.01626343	0.029770107212763706	0.00452733	0.00206
-0.0015	-0.0364	0.0102	4.0142572795869576e-05	-7.330382858376184e-05	0.00010297442586766544	1.0853703	41.04770279	1.03467977	0.0677824961931484	0.00521123	0.00338
0.0022	0.026	0.0162	-0.0002024581932313422	-7.853981633974481e-05	0.00022165681500327985	1.0937525	41.36470795	1.03303808	0.09042595714594044	0.00478673	0.00264
0.0017	-0.0341	0.0047	0.00017627825445142725	-0.00021467549799530252	0.00015533430342749534	1.09662127	41.47320175	1.03110168	0.1011597320457056	0.00506568	0.00296
0.0019	0.0402	-0.0035	-8.203047484373349e-05	-0.00029321531433504735	0.00017802358370342162	1.11415911	42.13646698	1.04491855	0.1006768912955416	0.00404811	0.00101
0.0007	-0.0208	-0.0182	0.0003211405823669566	-0.00023212879051524583	0.00012217304763960306	1.10306191	41.71678162	1.03130099	0.10290540585471553	0.00456077	0.00124
0.0026	0.0343	-0.0097	-2.094395102393195e-05	-0.000296705972839036	0.00016231562043547262	1.10891378	41.93809509	1.02629564	0.08784021442552739	0.00417429	0.00088
0.003	-0.0165	-0.0275	0.00032463124087094524	-0.0002722713633111154	0.0001064650843716541	1.09466612	41.39926147	1.02359379	0.0902930168743308	0.0045442	0.00113
0.0034	0.0291	-0.0255	8.028514559173915e-05	-0.00033335788713091696	0.00014137166941154068	1.06965983	40.45354843	1.01148533	0.06501696020694471	0.00395644	0.00064
0.0035	-0.0015	-0.0389	0.0003106686068549907	-0.0003665191429188092	0.0001256637061435917	1.08041799	40.86040878	1.00696831	0.05806263401595464	0.00428498	0.0007
0.0034	0.0271	-0.035	0.0002303834612632515	-0.0005340707511102648	0.00013788101090755203	1.06879449	40.42082214	1.00100225	0.045602702927357755	0.00382483	0.0006
0.0038	0.0169	-0.036	0.00026354471705114377	-0.0005724679946541401	0.00020420352248333657	1.02823317	38.88682938	0.99153967	0.0184940505453776	0.00379592	0.00054
0.0017	0.0043	-0.036	0.00024085543677521747	-0.0006300638599699529	0.0001308996938995747	1.01417053	38.35499191	0.98464045	0.02237944870877505	0.00389993	0.00045
0.0026	0.0163	-0.0415	0.000296705972839036	-0.0006928957130417488	0.00017453292519943296	1.06570458	40.30396271	1.00187667	0.02651578102177364	0.00373793	0.0005
0.0003	0.009	-0.0419	0.0003630284844148205	-0.0007225663103256524	0.00016406094968746698	1.04605997	39.5610199	0.99449385	0.0153232542185827	0.00375885	0.00059
-0.0024	0.0269	-0.0418	0.000307177948351002	-0.0007435102613495844	0.0001186823891356144	1.03534377	39.15574646	0.99042053	0.026808652381980155	0.00360233	0.00067
-0.0054	-0.0124	-0.0477	0.0005044001538263612	-0.000726056968829641	3.4906585039886588e-06	1.06178987	40.15591431	1.00430433	0.06469336143134642	0.00406659	0.00079
-0.0014	0.0444	-0.0414	0.0002652900463031381	-0.000710349005561692	3.839724354387525e-05	1.10681558	41.85874176	1.02615702	0.08158623279155293	0.00345427	0.00052
-0.0022	-0.0132	-0.042	0.0005916666164260777	-0.000736528944341607	3.316125578789226e-05	1.08724833	41.11872864	1.02440041	0.07688962483294189	0.00378186	0.00049
-0.0027	0.0451	-0.0343	0.0003106686068549907	-0.0007557275661135446	2.4434609527920616e-05	1.06158268	40.1480751	1.0107584	0.0819461638801498	0.00330371	0.00032
-0.0025	-0.0107	-0.0408	0.0006702064327658224	-0.0008482300164692441	4.71238898038469e-05	1.11621892	42.21437073	1.02990396	0.08623647782712286	0.00413728	0.00063
0.0003	0.0419	-0.0349	0.0004415683007545654	-0.0008552113334772215	0.0001239183768915974	1.12186122	42.42775726	1.02949615	0.07692069680534924	0.00369805	0.00063
-0.0001	-0.0016	-0.0431	0.0006684611035138282	-0.000783652834145454	0.0001186823891356144	1.08589911	41.06770325	1.01886542	0.06728436449235066	0.00401193	0.00066
0.0003	0.0389	-0.0367	0.00040840704496667313	-0.0008656833089891874	0.0001012290966156711	1.08712542	41.11407852	1.01390751	0.06527689129554158	0.00359845	0.00041
0.0	-0.0074	-0.0429	0.0006894050545377602	-0.0009459684545809266	0.00011170107212763708	1.09974468	41.59132767	1.02001896	0.0713877565337396	0.00385022	0.0006
-0.0005	0.0312	-0.0356	0.0005009094953223725	-0.0010175269539126942	0.0001186823891356144	1.06723845	40.36197281	1.0060701	0.059751768777756634	0.00339901	0.00037
-0.0004	-0.0046	-0.0465	0.0006492624817418905	-0.0010210176124166828	9.948376736367679e-05	1.0665741	40.33684921	0.99266025	0.05535211333477221	0.00382513	0.00041
0.0002	0.0347	-0.0422	0.00045553093477052	-0.0010035643198967395	8.203047484373349e-05	1.07889128	40.80267334	1.00470526	0.05563190660056286	0.00332552	0.00038
-0.0001	0.0055	-0.0489	0.0006667157742618339	-0.001064650843716541	0.00011519173063162575	1.04320776	39.45315552	0.99861502	0.051471630954950394	0.00344026	0.00041
-0.0036	0.0257	-0.048	0.0005724679946541401	-0.0011135200627723821	4.18879020478639e-05	1.05128384	39.75858307	0.99922736	0.03542104136236484	0.003456	0.00041
-0.0033	0.0085	-0.0447	0.0006667157742618339	-0.0011135200627723821	5.4105206811824215e-05	1.08784592	41.1413269	1.00970875	0.026123254218582713	0.00373507	0.00053
-0.005	0.0272	-0.0365	0.0005672320068981572	-0.0011047934165124105	7.330382858376184e-05	1.08210087	40.92405701	1.01224992	0.0349704517697793	0.00372452	0.00051
-0.0044	0.0122	-0.0427	0.0006440264939859076	-0.001085594794740473	6.45771823237902e-05	1.0586077	40.03556442	1.00014935	0.027035987755982985	0.00360656	0.00031
